#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 01:28:08.904
#Sample rate: 5e+07Hz
#Samples: 16384

Time (s),clk,ser3,ser1,ser2,rclk,srclk
-8.16e-05,0,0,0,0,0,0
-8.158e-05,0,0,0,0,0,0
-8.156e-05,0,0,0,0,0,0
-8.154e-05,0,0,0,0,0,0
-8.152000000000001e-05,0,0,0,0,0,0
-8.15e-05,0,0,0,0,0,0
-8.148e-05,0,0,0,0,0,0
-8.146e-05,0,0,0,0,0,0
-8.144000000000001e-05,0,0,0,0,0,0
-8.142e-05,0,0,0,0,0,0
-8.14e-05,0,0,0,0,0,0
-8.138e-05,0,0,0,0,0,0
-8.135999999999999e-05,0,0,0,0,0,0
-8.134e-05,0,0,0,0,0,0
-8.132e-05,0,0,0,0,0,0
-8.13e-05,0,0,0,0,0,0
-8.127999999999999e-05,0,0,0,0,0,0
-8.126e-05,0,0,0,0,0,0
-8.124e-05,0,0,0,0,0,0
-8.122e-05,0,0,0,0,0,0
-8.12e-05,0,0,0,0,0,0
-8.118000000000001e-05,0,0,0,0,0,0
-8.116e-05,0,0,0,0,0,0
-8.114e-05,0,0,0,0,0,0
-8.112e-05,0,0,0,0,0,0
-8.110000000000001e-05,0,0,0,0,0,0
-8.108e-05,0,0,0,0,0,0
-8.106e-05,0,0,0,0,0,0
-8.104e-05,0,0,0,0,0,0
-8.101999999999999e-05,0,0,0,0,0,0
-8.1e-05,0,0,0,0,0,0
-8.098e-05,0,0,0,0,0,0
-8.096e-05,0,0,0,0,0,0
-8.093999999999999e-05,0,0,0,0,0,0
-8.092e-05,0,0,0,0,0,0
-8.09e-05,0,0,0,0,0,0
-8.088e-05,0,0,0,0,0,0
-8.085999999999999e-05,0,0,0,0,0,0
-8.084000000000001e-05,0,0,0,0,0,0
-8.082e-05,0,0,0,0,0,0
-8.08e-05,0,0,0,0,0,0
-8.078e-05,0,0,0,0,0,0
-8.076000000000001e-05,0,0,0,0,0,0
-8.074e-05,0,0,0,0,0,0
-8.072e-05,0,0,0,0,0,0
-8.07e-05,0,0,0,0,0,0
-8.067999999999999e-05,0,0,0,0,0,0
-8.066e-05,0,0,0,0,0,0
-8.064e-05,0,0,0,0,0,0
-8.062e-05,0,0,0,0,0,0
-8.059999999999999e-05,0,0,0,0,0,0
-8.058e-05,0,0,0,0,0,0
-8.056e-05,0,0,0,0,0,0
-8.054e-05,0,0,0,0,0,0
-8.051999999999999e-05,0,0,0,0,0,0
-8.050000000000001e-05,0,0,0,0,0,0
-8.048e-05,0,0,0,0,0,0
-8.046e-05,0,0,0,0,0,0
-8.044e-05,0,0,0,0,0,0
-8.042000000000001e-05,0,0,0,0,0,0
-8.04e-05,0,0,0,0,0,0
-8.038e-05,0,0,0,0,0,0
-8.036e-05,0,0,0,0,0,0
-8.034000000000001e-05,0,0,0,0,0,0
-8.032e-05,0,0,0,0,0,0
-8.03e-05,0,0,0,0,0,0
-8.028e-05,0,0,0,0,0,0
-8.025999999999999e-05,0,0,0,0,0,0
