#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2025-01-07 22:35:35.285
#Sample rate: 1e+08Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,clk,Bus
-7.953000000000001e-05,0,0,0,1,1,h00
-7.952e-05,0,0,0,1,1,h00
-7.951e-05,0,0,0,1,1,h00
-7.949999999999999e-05,0,0,0,1,1,h00
-7.949e-05,0,0,0,1,0,h00
-7.948e-05,0,0,0,1,0,h00
-7.947e-05,0,0,0,1,0,h00
-7.946e-05,0,0,0,1,0,h00
-7.945000000000001e-05,0,0,0,1,0,h00
-7.944e-05,0,0,0,1,0,h00
-7.943e-05,0,0,0,1,0,h00
-7.942e-05,0,0,0,1,1,h00
-7.941e-05,0,0,0,1,1,h00
-7.940000000000001e-05,0,0,0,1,1,h00
-7.939e-05,0,0,0,1,1,h00
-7.938e-05,0,0,0,1,1,h00
-7.936999999999999e-05,0,0,0,1,1,h00
-7.936e-05,0,0,0,1,0,h00
-7.935e-05,0,0,0,1,0,h00
-7.934e-05,0,0,0,1,0,h00
-7.933e-05,0,0,0,1,0,h00
-7.932000000000001e-05,0,0,0,1,0,h00
-7.931e-05,0,0,0,1,0,h00
-7.93e-05,0,0,0,1,0,h00
-7.928999999999999e-05,0,0,0,1,1,h00
-7.928e-05,0,0,0,1,1,h00
-7.927000000000001e-05,0,0,0,1,1,h00
-7.926e-05,0,0,0,1,1,h00
-7.925e-05,0,0,0,1,1,h00
-7.923999999999999e-05,0,0,0,1,1,h00
-7.923e-05,0,0,0,1,0,h00
-7.922e-05,0,0,0,1,0,h00
-7.921e-05,0,0,0,1,0,h00
-7.92e-05,0,0,0,1,0,h00
-7.919000000000001e-05,0,0,0,1,0,h00
-7.918e-05,0,0,0,1,0,h00
-7.917e-05,0,0,0,1,1,h00
-7.915999999999999e-05,0,0,0,1,1,h00
-7.915e-05,0,0,0,1,1,h00
-7.914e-05,0,0,0,1,1,h00
-7.913e-05,0,0,0,1,1,h00
-7.912e-05,0,0,0,1,1,h00
-7.911000000000001e-05,0,0,0,1,1,h00
-7.91e-05,0,0,0,1,0,h00
-7.909e-05,0,0,0,1,0,h00
-7.908e-05,0,0,0,1,0,h00
-7.907e-05,0,0,0,1,0,h00
-7.906000000000001e-05,0,0,0,1,0,h00
-7.905e-05,0,0,0,1,0,h00
-7.904e-05,0,0,0,1,1,h00
-7.902999999999999e-05,0,0,0,1,1,h00
-7.902e-05,0,0,0,1,1,h00
-7.901e-05,0,0,0,1,1,h00
-7.9e-05,0,0,0,1,1,h00
-7.899e-05,0,0,0,1,1,h00
-7.898000000000001e-05,0,0,0,1,1,h00
-7.897e-05,0,0,0,1,0,h00
-7.896e-05,0,0,0,1,0,h00
-7.894999999999999e-05,0,0,0,1,0,h00
-7.894e-05,0,0,0,1,0,h00
-7.893e-05,0,0,0,1,0,h00
-7.892e-05,0,0,0,1,0,h00
-7.891e-05,0,0,0,1,1,h00
-7.889999999999999e-05,0,0,0,1,1,h00
-7.889e-05,0,0,0,1,1,h00
-7.888e-05,0,0,0,1,1,h00
-7.887e-05,0,0,0,1,1,h00
-7.886e-05,0,0,0,1,1,h00
-7.885000000000001e-05,0,0,0,1,0,h00
